country,iso3,week_end_date,total_confirmed_cases,total_suspected_cases,total_deaths,total_suspected_deaths,new_confirmed_cases,new_suspected_cases,new_deaths,new_suspected_deaths
Liberia,LBR,29/09/2024,30,167,0,0,1,20,0,0
South Africa,ZAF,29/09/2024,30,25,3,3,0,0,0,0
Uganda,UGA,29/09/2024,49,120,0,0,14,0,0,0
Benin,BEN,06/10/2024,3,NA,0,NA,0,0,0,0
Burundi,BDI,06/10/2024,987,2569,0,0,134,381,0,0
Congo,COG,06/10/2024,47,184,2,0,0,0,0,0
Côte d’Ivoire,CIV,06/10/2024,67,331,1,0,0,0,0,0
Gabon,GAB,06/10/2024,2,15,0,0,0,0,0,0
Democratic Republic of the Congo,COD,06/10/2024,7414,31350,27,992,319,584,0,2
Liberia,LBR,06/10/2024,31,167,0,0,1,0,0,0
Mozambique,MOZ,06/10/2024,1,NA,1,NA,0,0,0,0
Morocco,MAR,06/10/2024,7,0,0,0,1,0,0,0
Kenya,KEN,06/10/2024,12,230,0,0,4,22,0,0
Nigeria,NGA,06/10/2024,945,1237,9,0,0,0,0,0
Uganda,UGA,06/10/2024,69,120,0,0,20,0,0,0
Rwanda,RWA,06/10/2024,6,6,0,0,0,0,0,0
Cameroon,CMR,06/10/2024,51,97,5,2,0,8,0,0
Central African Republic,CAF,06/10/2024,104,347,2,1,0,0,0,0
Ghana,GHA,06/10/2024,129,1,4,0,1,1,0,0
Guinea,GIN,06/10/2024,1,8,0,0,0,0,0,0
South Africa,ZAF,06/10/2024,30,25,3,3,0,0,0,0
Benin,BEN,27/02/2022,0,NA,0,NA,0,0,0,0
Benin,BEN,06/02/2022,0,NA,0,NA,0,0,0,0
Benin,BEN,01/05/2022,0,NA,0,NA,0,0,0,0
Benin,BEN,05/06/2022,0,NA,0,NA,0,0,0,0
Benin,BEN,30/01/2022,0,NA,0,NA,0,0,0,0
Benin,BEN,24/04/2022,0,NA,0,NA,0,0,0,0
Benin,BEN,29/05/2022,0,NA,0,NA,0,0,0,0
Benin,BEN,22/05/2022,0,NA,0,NA,0,0,0,0
Cameroon,CMR,06/02/2022,0,NA,0,NA,0,0,0,0
Benin,BEN,09/01/2022,0,NA,0,NA,0,0,0,0
Benin,BEN,03/04/2022,0,NA,0,NA,0,0,0,0
Benin,BEN,08/05/2022,0,NA,0,NA,0,0,0,0
Congo,COG,06/02/2022,0,NA,0,NA,0,0,0,0
Congo,COG,13/03/2022,0,NA,0,NA,0,0,0,0
Congo,COG,16/01/2022,0,NA,0,NA,0,0,0,0
Congo,COG,20/02/2022,0,NA,0,NA,0,0,0,0
Cameroon,CMR,30/01/2022,0,NA,0,NA,0,0,0,0
Congo,COG,27/03/2022,0,NA,0,NA,0,0,0,0
Congo,COG,25/08/2024,47,184,2,0,0,15,0,0
Cameroon,CMR,16/01/2022,0,NA,0,NA,0,0,0,0
Cameroon,CMR,20/02/2022,0,NA,0,NA,0,0,0,0
Côte d’Ivoire,CIV,30/06/2024,0,0,0,0,0,0,0,0
Democratic Republic of the Congo,COD,16/01/2022,0,NA,0,NA,0,0,0,0
Democratic Republic of the Congo,COD,10/04/2022,0,NA,0,NA,0,0,0,0
Democratic Republic of the Congo,COD,15/05/2022,0,NA,0,NA,0,0,0,0
Congo,COG,23/01/2022,0,NA,0,NA,0,0,0,0
Congo,COG,17/04/2022,0,NA,0,NA,0,0,0,0
Cameroon,CMR,13/02/2022,0,NA,0,NA,0,0,0,0
Democratic Republic of the Congo,COD,20/02/2022,0,NA,0,NA,0,0,0,0
Democratic Republic of the Congo,COD,27/03/2022,0,NA,0,NA,0,0,0,0
Cameroon,CMR,23/01/2022,0,NA,0,NA,0,0,0,0
Cameroon,CMR,27/02/2022,0,NA,0,NA,0,0,0,0
Congo,COG,27/02/2022,0,NA,0,NA,0,0,0,0
Congo,COG,03/04/2022,0,NA,0,NA,0,0,0,0
Gabon,GAB,18/08/2024,0,0,0,0,0,0,0,0
Democratic Republic of the Congo,COD,09/01/2022,0,NA,0,NA,0,0,0,0
Democratic Republic of the Congo,COD,03/04/2022,0,NA,0,NA,0,0,0,0
Democratic Republic of the Congo,COD,08/05/2022,0,NA,0,NA,0,0,0,0
Ghana,GHA,23/01/2022,0,NA,0,NA,0,0,0,0
Congo,COG,30/01/2022,0,NA,0,NA,0,0,0,0
Democratic Republic of the Congo,COD,06/02/2022,0,NA,0,NA,0,0,0,0
Democratic Republic of the Congo,COD,01/05/2022,0,NA,0,NA,0,0,0,0
Democratic Republic of the Congo,COD,13/03/2022,0,NA,0,NA,0,0,0,0
Democratic Republic of the Congo,COD,17/04/2022,0,NA,0,NA,0,0,0,0
Liberia,LBR,06/02/2022,0,NA,0,NA,0,0,0,0
Liberia,LBR,13/03/2022,0,NA,0,NA,0,0,0,0
Liberia,LBR,17/04/2022,0,NA,0,NA,0,0,0,0
Liberia,LBR,10/07/2022,0,NA,0,NA,0,0,0,0
Congo,COG,09/01/2022,0,NA,0,NA,0,0,0,0
Congo,COG,13/02/2022,0,NA,0,NA,0,0,0,0
Congo,COG,20/03/2022,0,NA,0,NA,0,0,0,0
Mozambique,MOZ,27/03/2022,0,NA,0,NA,0,0,0,0
Mozambique,MOZ,01/05/2022,0,NA,0,NA,0,0,0,0
Mozambique,MOZ,05/06/2022,0,NA,0,NA,0,0,0,0
Mozambique,MOZ,28/08/2022,0,NA,0,NA,0,0,0,0
Democratic Republic of the Congo,COD,23/01/2022,0,NA,0,NA,0,0,0,0
Democratic Republic of the Congo,COD,27/02/2022,0,NA,0,NA,0,0,0,0
Ghana,GHA,30/01/2022,0,NA,0,NA,0,0,0,0
Ghana,GHA,16/01/2022,0,NA,0,NA,0,0,0,0
Ghana,GHA,20/02/2022,0,NA,0,NA,0,0,0,0
Mozambique,MOZ,02/10/2022,0,NA,0,NA,0,0,0,0
Ghana,GHA,13/02/2022,0,NA,0,NA,0,0,0,0
Liberia,LBR,06/03/2022,0,NA,0,NA,0,0,0,0
Liberia,LBR,10/04/2022,0,NA,0,NA,0,0,0,0
Liberia,LBR,03/07/2022,0,NA,0,NA,0,0,0,0
Rwanda,RWA,21/07/2024,0,0,0,0,0,0,0,0
Liberia,LBR,27/03/2022,0,NA,0,NA,0,0,0,0
Liberia,LBR,01/05/2022,0,NA,0,NA,0,0,0,0
Liberia,LBR,05/06/2022,0,NA,0,NA,0,0,0,0
Liberia,LBR,30/01/2022,0,NA,0,NA,0,0,0,0
Liberia,LBR,24/04/2022,0,NA,0,NA,0,0,0,0
Liberia,LBR,29/05/2022,0,NA,0,NA,0,0,0,0
Mozambique,MOZ,09/01/2022,0,NA,0,NA,0,0,0,0
Mozambique,MOZ,03/04/2022,0,NA,0,NA,0,0,0,0
Mozambique,MOZ,08/05/2022,0,NA,0,NA,0,0,0,0
Mozambique,MOZ,31/07/2022,0,NA,0,NA,0,0,0,0
Mozambique,MOZ,04/09/2022,0,NA,0,NA,0,0,0,0
South Africa,ZAF,09/01/2022,0,NA,0,NA,0,0,0,0
South Africa,ZAF,03/04/2022,0,NA,0,NA,0,0,0,0
South Africa,ZAF,08/05/2022,0,NA,0,NA,0,0,0,0
South Africa,ZAF,12/06/2022,0,NA,0,NA,0,0,0,0
Mozambique,MOZ,13/02/2022,0,NA,0,NA,0,0,0,0
Mozambique,MOZ,20/03/2022,0,NA,0,NA,0,0,0,0
Mozambique,MOZ,12/06/2022,0,NA,0,NA,0,0,0,0
Mozambique,MOZ,17/07/2022,0,NA,0,NA,0,0,0,0
Mozambique,MOZ,06/02/2022,0,NA,0,NA,0,0,0,0
Mozambique,MOZ,13/03/2022,0,NA,0,NA,0,0,0,0
Mozambique,MOZ,17/04/2022,0,NA,0,NA,0,0,0,0
Mozambique,MOZ,10/07/2022,0,NA,0,NA,0,0,0,0
Mozambique,MOZ,14/08/2022,0,NA,0,NA,0,0,0,0
Liberia,LBR,13/02/2022,0,NA,0,NA,0,0,0,0
Liberia,LBR,20/03/2022,0,NA,0,NA,0,0,0,0
Liberia,LBR,12/06/2022,0,NA,0,NA,0,0,0,0
Liberia,LBR,17/07/2022,0,NA,0,NA,0,0,0,0
Liberia,LBR,16/01/2022,0,NA,0,NA,0,0,0,0
Liberia,LBR,20/02/2022,0,NA,0,NA,0,0,0,0
Liberia,LBR,15/05/2022,0,NA,0,NA,0,0,0,0
Liberia,LBR,19/06/2022,0,NA,0,NA,0,0,0,0
Liberia,LBR,24/07/2022,0,NA,0,NA,0,0,0,0
South Africa,ZAF,13/02/2022,0,NA,0,NA,0,0,0,0
South Africa,ZAF,20/03/2022,0,NA,0,NA,0,0,0,0
South Africa,ZAF,24/04/2022,0,NA,0,NA,0,0,0,0
Mozambique,MOZ,30/01/2022,0,NA,0,NA,0,0,0,0
Mozambique,MOZ,24/04/2022,0,NA,0,NA,0,0,0,0
Mozambique,MOZ,29/05/2022,0,NA,0,NA,0,0,0,0
Mozambique,MOZ,21/08/2022,0,NA,0,NA,0,0,0,0
Mozambique,MOZ,25/09/2022,0,NA,0,NA,0,0,0,0
South Africa,ZAF,23/01/2022,0,NA,0,NA,0,0,0,0
South Africa,ZAF,27/02/2022,0,NA,0,NA,0,0,0,0
South Africa,ZAF,22/05/2022,0,NA,0,NA,0,0,0,0
South Africa,ZAF,26/06/2022,0,NA,0,NA,0,0,0,0
South Africa,ZAF,20/02/2022,0,NA,0,NA,0,0,0,0
South Africa,ZAF,27/03/2022,0,NA,0,NA,0,0,0,0
South Africa,ZAF,19/06/2022,0,NA,0,NA,0,0,0,0
Mozambique,MOZ,23/01/2022,0,NA,0,NA,0,0,0,0
Mozambique,MOZ,27/02/2022,0,NA,0,NA,0,0,0,0
Mozambique,MOZ,22/05/2022,0,NA,0,NA,0,0,0,0
Mozambique,MOZ,26/06/2022,0,NA,0,NA,0,0,0,0
Mozambique,MOZ,18/09/2022,0,NA,0,NA,0,0,0,0
Uganda,UGA,30/06/2024,0,0,0,0,0,0,0,0
South Africa,ZAF,16/01/2022,0,NA,0,NA,0,0,0,0
South Africa,ZAF,10/04/2022,0,NA,0,NA,0,0,0,0
South Africa,ZAF,15/05/2022,0,NA,0,NA,0,0,0,0
South Africa,ZAF,30/01/2022,0,NA,0,NA,0,0,0,0
South Africa,ZAF,06/03/2022,0,NA,0,NA,0,0,0,0
South Africa,ZAF,29/05/2022,0,NA,0,NA,0,0,0,0
Benin,BEN,16/01/2022,0,NA,0,NA,0,0,0,0
Benin,BEN,20/02/2022,0,NA,0,NA,0,0,0,0
Benin,BEN,27/03/2022,0,NA,0,NA,0,0,0,0
Benin,BEN,19/06/2022,0,NA,0,NA,0,0,0,0
Burundi,BDI,21/07/2024,0,0,0,0,0,0,0,0
Cameroon,CMR,09/01/2022,0,NA,0,NA,0,0,0,0
Congo,COG,06/03/2022,0,NA,0,NA,0,0,0,0
Congo,COG,10/04/2022,0,NA,0,NA,0,0,0,0
Democratic Republic of the Congo,COD,13/02/2022,0,NA,0,NA,0,0,0,0
Democratic Republic of the Congo,COD,20/03/2022,0,NA,0,NA,0,0,0,0
Democratic Republic of the Congo,COD,24/04/2022,0,NA,0,NA,0,0,0,0
Liberia,LBR,23/01/2022,0,NA,0,NA,0,0,0,0
Liberia,LBR,27/02/2022,0,NA,0,NA,0,0,0,0
Liberia,LBR,22/05/2022,0,NA,0,NA,0,0,0,0
Liberia,LBR,26/06/2022,0,NA,0,NA,0,0,0,0
Mozambique,MOZ,16/01/2022,0,NA,0,NA,0,0,0,0
Mozambique,MOZ,20/02/2022,0,NA,0,NA,0,0,0,0
Mozambique,MOZ,15/05/2022,0,NA,0,NA,0,0,0,0
Mozambique,MOZ,19/06/2022,0,NA,0,NA,0,0,0,0
Mozambique,MOZ,24/07/2022,0,NA,0,NA,0,0,0,0
Rwanda,RWA,14/07/2024,0,0,0,0,0,0,0,0
South Africa,ZAF,06/02/2022,0,NA,0,NA,0,0,0,0
South Africa,ZAF,01/05/2022,0,NA,0,NA,0,0,0,0
South Africa,ZAF,05/06/2022,0,NA,0,NA,0,0,0,0
Democratic Republic of the Congo,COD,30/01/2022,0,NA,0,NA,0,0,0,0
Democratic Republic of the Congo,COD,06/03/2022,0,NA,0,NA,0,0,0,0
Democratic Republic of the Congo,COD,18/08/2024,5850,19120,27,641,252,1864,0,35
Ghana,GHA,06/02/2022,0,NA,0,NA,0,0,0,0
Kenya,KEN,21/07/2024,0,0,0,0,0,0,0,0
Liberia,LBR,09/01/2022,0,NA,0,NA,0,0,0,0
Liberia,LBR,03/04/2022,0,NA,0,NA,0,0,0,0
Liberia,LBR,08/05/2022,0,NA,0,NA,0,0,0,0
Mozambique,MOZ,06/03/2022,0,NA,0,NA,0,0,0,0
Mozambique,MOZ,10/04/2022,0,NA,0,NA,0,0,0,0
Mozambique,MOZ,03/07/2022,0,NA,0,NA,0,0,0,0
Mozambique,MOZ,07/08/2022,0,NA,0,NA,0,0,0,0
Mozambique,MOZ,11/09/2022,0,NA,0,NA,0,0,0,0
South Africa,ZAF,13/03/2022,0,NA,0,NA,0,0,0,0
South Africa,ZAF,17/04/2022,0,NA,0,NA,0,0,0,0
Uganda,UGA,25/08/2024,11,93,0,0,6,8,0,0
Democratic Republic of the Congo,COD,25/08/2024,6092,21018,27,686,242,1898,0,45
Benin,BEN,03/07/2022,3,NA,0,NA,0,0,0,0
Benin,BEN,07/08/2022,3,NA,0,NA,0,0,0,0
Benin,BEN,30/10/2022,3,NA,0,NA,0,0,0,0
Benin,BEN,04/12/2022,3,NA,0,NA,0,0,0,0
Benin,BEN,08/01/2023,3,NA,0,NA,0,0,0,0
Benin,BEN,02/04/2023,3,NA,0,NA,0,0,0,0
Benin,BEN,07/05/2023,3,NA,0,NA,0,0,0,0
Benin,BEN,30/07/2023,3,NA,0,NA,0,0,0,0
Benin,BEN,03/09/2023,3,NA,0,NA,0,0,0,0
Benin,BEN,26/11/2023,3,NA,0,NA,0,0,0,0
Benin,BEN,31/12/2023,3,NA,0,NA,0,0,0,0
Benin,BEN,04/02/2024,3,NA,0,NA,0,0,0,0
Benin,BEN,28/04/2024,3,NA,0,NA,0,0,0,0
Benin,BEN,02/06/2024,3,NA,0,NA,0,0,0,0
Benin,BEN,11/09/2022,3,NA,0,NA,0,0,0,0
Benin,BEN,16/10/2022,3,NA,0,NA,0,0,0,0
Benin,BEN,20/11/2022,3,NA,0,NA,0,0,0,0
Benin,BEN,12/02/2023,3,NA,0,NA,0,0,0,0
Benin,BEN,19/03/2023,3,NA,0,NA,0,0,0,0
Benin,BEN,11/06/2023,3,NA,0,NA,0,0,0,0
Benin,BEN,16/07/2023,3,NA,0,NA,0,0,0,0
Benin,BEN,08/10/2023,3,NA,0,NA,0,0,0,0
Benin,BEN,12/11/2023,3,NA,0,NA,0,0,0,0
Benin,BEN,17/12/2023,3,NA,0,NA,0,0,0,0
Benin,BEN,10/03/2024,3,NA,0,NA,0,0,0,0
Benin,BEN,14/04/2024,3,NA,0,NA,0,0,0,0
Benin,BEN,07/07/2024,3,NA,0,NA,0,0,0,0
Benin,BEN,18/09/2022,3,NA,0,NA,0,0,0,0
Benin,BEN,23/10/2022,3,NA,0,NA,0,0,0,0
Benin,BEN,15/01/2023,3,NA,0,NA,0,0,0,0
Benin,BEN,19/02/2023,3,NA,0,NA,0,0,0,0
Benin,BEN,14/05/2023,3,NA,0,NA,0,0,0,0
Benin,BEN,18/06/2023,3,NA,0,NA,0,0,0,0
Benin,BEN,23/07/2023,3,NA,0,NA,0,0,0,0
Benin,BEN,15/10/2023,3,NA,0,NA,0,0,0,0
South Africa,ZAF,11/08/2024,29,24,3,3,0,0,0,0
Rwanda,RWA,18/08/2024,4,4,0,0,0,0,0,0
South Africa,ZAF,18/08/2024,29,24,3,3,0,0,0,0
Uganda,UGA,11/08/2024,3,70,0,0,1,18,0,0
Benin,BEN,11/08/2024,3,NA,0,NA,0,0,0,0
Liberia,LBR,18/08/2024,23,66,0,0,0,5,0,0
Rwanda,RWA,11/08/2024,4,4,0,0,0,0,0,0
Uganda,UGA,18/08/2024,5,85,0,0,2,15,0,0
Egypt,EGY,18/12/2022,3,0,0,0,1,0,0,0
Egypt,EGY,11/12/2022,2,0,0,0,1,0,0,0
Morocco,MAR,12/06/2022,1,0,0,0,0,0,0,0
Morocco,MAR,04/09/2022,3,0,0,0,2,0,0,0
Morocco,MAR,05/06/2022,1,0,0,0,1,0,0,0
Sudan,SDN,11/09/2022,4,0,0,0,2,0,0,0
Sudan,SDN,07/08/2022,1,0,0,0,1,0,0,0
Sudan,SDN,25/09/2022,7,0,1,0,1,0,0,0
Sudan,SDN,02/10/2022,17,0,1,0,10,0,0,0
Sudan,SDN,18/09/2022,6,0,1,0,2,0,1,0
Morocco,MAR,19/06/2022,1,0,0,0,0,0,0,0
Sudan,SDN,14/08/2022,2,0,0,0,1,0,0,0
Sudan,SDN,23/10/2022,18,0,1,0,1,0,0,0
Sudan,SDN,09/04/2023,19,0,1,0,1,0,0,0
Egypt,EGY,02/10/2022,1,0,0,0,1,0,0,0
Burundi,BDI,01/09/2024,328,1129,0,0,97,309,0,0
Kenya,KEN,01/09/2024,4,80,0,0,2,28,0,0
Uganda,UGA,01/09/2024,15,101,0,0,4,8,0,0
Ghana,GHA,25/08/2024,128,NA,4,NA,0,0,0,0
Guinea,GIN,01/09/2024,1,4,0,0,1,4,0,0
Liberia,LBR,01/09/2024,24,85,0,0,1,12,0,0
Liberia,LBR,25/08/2024,23,73,0,0,0,7,0,0
Gabon,GAB,01/09/2024,2,15,0,0,1,9,0,0
Ghana,GHA,01/09/2024,128,NA,4,NA,0,0,0,0
Gabon,GAB,25/08/2024,1,6,0,0,1,6,0,0
Morocco,MAR,17/03/2024,5,0,0,0,1,0,0,0
Morocco,MAR,08/10/2023,4,0,0,0,1,0,0,0
Nigeria,NGA,25/08/2024,911,885,9,0,10,72,0,0
Kenya,KEN,25/08/2024,2,52,0,0,1,20,0,0
Benin,BEN,13/02/2022,0,NA,0,NA,0,0,0,0
Benin,BEN,20/03/2022,0,NA,0,NA,0,0,0,0
Benin,BEN,12/06/2022,0,NA,0,NA,0,0,0,0
Benin,BEN,06/03/2022,0,NA,0,NA,0,0,0,0
Benin,BEN,10/04/2022,0,NA,0,NA,0,0,0,0
Benin,BEN,15/05/2022,0,NA,0,NA,0,0,0,0
Benin,BEN,13/03/2022,0,NA,0,NA,0,0,0,0
Benin,BEN,17/04/2022,0,NA,0,NA,0,0,0,0
Benin,BEN,23/01/2022,0,NA,0,NA,0,0,0,0
Liberia,LBR,18/09/2022,3,NA,0,NA,0,0,0,0
Liberia,LBR,23/10/2022,3,NA,0,NA,0,0,0,0
Liberia,LBR,15/01/2023,6,NA,0,NA,0,0,0,0
Liberia,LBR,12/02/2023,7,NA,0,NA,0,0,0,0
Liberia,LBR,11/06/2023,12,NA,0,NA,0,0,0,0
Liberia,LBR,03/09/2023,12,NA,0,NA,0,0,0,0
Liberia,LBR,08/10/2023,12,NA,0,NA,0,0,0,0
Liberia,LBR,25/02/2024,20,17,0,0,0,0,0,0
Liberia,LBR,24/03/2024,21,26,0,0,0,0,0,0
Liberia,LBR,21/04/2024,22,36,0,0,0,0,0,0
Liberia,LBR,26/05/2024,22,36,0,0,0,0,0,0
Mozambique,MOZ,11/12/2022,1,NA,1,NA,0,0,0,0
Mozambique,MOZ,15/01/2023,1,NA,1,NA,0,0,0,0
Mozambique,MOZ,09/04/2023,1,NA,1,NA,0,0,0,0
Mozambique,MOZ,14/05/2023,1,NA,1,NA,0,0,0,0
Mozambique,MOZ,18/06/2023,1,NA,1,NA,0,0,0,0
Mozambique,MOZ,10/09/2023,1,NA,1,NA,0,0,0,0
Mozambique,MOZ,15/10/2023,1,NA,1,NA,0,0,0,0
Liberia,LBR,10/03/2024,21,26,0,0,1,9,0,0
Liberia,LBR,14/04/2024,22,36,0,0,0,0,0,0
Liberia,LBR,07/07/2024,22,42,0,0,0,0,0,0
Mozambique,MOZ,08/01/2023,1,NA,1,NA,0,0,0,0
Mozambique,MOZ,12/02/2023,1,NA,1,NA,0,0,0,0
Mozambique,MOZ,07/05/2023,1,NA,1,NA,0,0,0,0
Mozambique,MOZ,11/06/2023,1,NA,1,NA,0,0,0,0
Mozambique,MOZ,03/09/2023,1,NA,1,NA,0,0,0,0
Mozambique,MOZ,08/10/2023,1,NA,1,NA,0,0,0,0
Mozambique,MOZ,12/11/2023,1,NA,1,NA,0,0,0,0
Mozambique,MOZ,04/02/2024,1,NA,1,NA,0,0,0,0
Mozambique,MOZ,10/03/2024,1,NA,1,NA,0,0,0,0
Mozambique,MOZ,02/06/2024,1,NA,1,NA,0,0,0,0
Mozambique,MOZ,07/07/2024,1,NA,1,NA,0,0,0,0
Nigeria,NGA,30/01/2022,3,NA,0,NA,0,0,0,0
Nigeria,NGA,27/02/2022,4,NA,0,NA,0,0,0,0
Nigeria,NGA,17/04/2022,14,NA,1,NA,1,0,0,0
Nigeria,NGA,24/04/2022,14,NA,1,NA,0,0,0,0
South Africa,ZAF,03/03/2024,5,NA,0,NA,0,0,0,0
South Africa,ZAF,07/04/2024,5,NA,0,NA,0,0,0,0
South Africa,ZAF,02/06/2024,8,3,1,1,1,1,0,0
South Africa,ZAF,04/08/2024,29,24,3,3,2,2,0,0
Ghana,GHA,26/06/2022,23,NA,0,NA,1,0,0,0
Ghana,GHA,10/07/2022,34,NA,0,NA,5,0,0,0
Ghana,GHA,11/12/2022,117,NA,4,NA,6,0,0,0
Ghana,GHA,04/06/2023,128,NA,4,NA,0,0,0,0
Ghana,GHA,27/08/2023,128,NA,4,NA,0,0,0,0
Ghana,GHA,01/10/2023,128,NA,4,NA,0,0,0,0
Ghana,GHA,05/11/2023,128,NA,4,NA,0,0,0,0
Ghana,GHA,28/01/2024,128,NA,4,NA,0,0,0,0
Ghana,GHA,03/03/2024,128,NA,4,NA,0,0,0,0
Ghana,GHA,26/05/2024,128,NA,4,NA,0,0,0,0
Ghana,GHA,30/06/2024,128,NA,4,NA,0,0,0,0
Liberia,LBR,11/09/2022,3,NA,0,NA,0,0,0,0
Liberia,LBR,16/10/2022,3,NA,0,NA,0,0,0,0
Liberia,LBR,11/12/2022,6,NA,0,NA,2,0,0,0
Liberia,LBR,08/01/2023,6,NA,0,NA,0,0,0,0
Liberia,LBR,05/02/2023,7,NA,0,NA,0,0,0,0
Liberia,LBR,07/05/2023,12,NA,0,NA,0,0,0,0
Liberia,LBR,04/06/2023,12,NA,0,NA,0,0,0,0
Liberia,LBR,27/08/2023,12,NA,0,NA,0,0,0,0
Liberia,LBR,01/10/2023,12,NA,0,NA,0,0,0,0
Liberia,LBR,05/11/2023,12,NA,0,NA,0,0,0,0
Liberia,LBR,31/12/2023,17,NA,0,NA,0,0,0,0
Liberia,LBR,28/01/2024,18,4,0,0,0,0,0,0
Liberia,LBR,17/03/2024,21,26,0,0,0,0,0,0
Liberia,LBR,19/05/2024,22,36,0,0,0,0,0,0
Liberia,LBR,23/06/2024,22,38,0,0,0,2,0,0
Mozambique,MOZ,16/10/2022,1,NA,0,NA,0,0,0,0
Mozambique,MOZ,23/10/2022,1,NA,1,NA,0,0,1,0
Mozambique,MOZ,13/11/2022,1,NA,1,NA,0,0,0,0
Mozambique,MOZ,18/12/2022,1,NA,1,NA,0,0,0,0
Mozambique,MOZ,22/01/2023,1,NA,1,NA,0,0,0,0
Mozambique,MOZ,16/04/2023,1,NA,1,NA,0,0,0,0
Mozambique,MOZ,21/05/2023,1,NA,1,NA,0,0,0,0
Mozambique,MOZ,13/08/2023,1,NA,1,NA,0,0,0,0
Mozambique,MOZ,17/09/2023,1,NA,1,NA,0,0,0,0
Mozambique,MOZ,10/12/2023,1,NA,1,NA,0,0,0,0
Mozambique,MOZ,14/01/2024,1,NA,1,NA,0,0,0,0
Mozambique,MOZ,18/02/2024,1,NA,1,NA,0,0,0,0
Mozambique,MOZ,12/05/2024,1,NA,1,NA,0,0,0,0
Mozambique,MOZ,16/06/2024,1,NA,1,NA,0,0,0,0
Nigeria,NGA,13/02/2022,3,NA,0,NA,0,0,0,0
Nigeria,NGA,06/03/2022,6,NA,0,NA,2,0,0,0
Nigeria,NGA,03/04/2022,11,NA,0,NA,1,0,0,0
Nigeria,NGA,22/05/2022,21,NA,1,NA,2,0,0,0
Nigeria,NGA,19/06/2022,41,NA,2,NA,5,0,0,0
Nigeria,NGA,13/11/2022,638,NA,7,NA,14,0,0,0
Nigeria,NGA,20/11/2022,659,NA,7,NA,21,0,0,0
Nigeria,NGA,12/03/2023,820,NA,9,NA,7,0,0,0
Nigeria,NGA,04/06/2023,842,NA,9,NA,0,0,0,0
Nigeria,NGA,02/07/2023,843,NA,9,NA,0,0,0,0
Nigeria,NGA,24/09/2023,846,NA,9,NA,0,0,0,0
Nigeria,NGA,29/10/2023,846,NA,9,NA,0,0,0,0
Nigeria,NGA,03/12/2023,859,NA,9,NA,4,0,0,0
Nigeria,NGA,10/12/2023,859,NA,9,NA,0,0,0,0
Nigeria,NGA,24/03/2024,873,279,9,0,0,25,0,0
Nigeria,NGA,12/05/2024,885,461,9,0,0,22,0,0
Nigeria,NGA,28/07/2024,899,727,9,0,0,13,0,0
South Africa,ZAF,24/07/2022,2,NA,0,NA,0,0,0,0
South Africa,ZAF,31/07/2022,3,NA,0,NA,1,0,0,0
South Africa,ZAF,20/11/2022,5,NA,0,NA,0,0,0,0
South Africa,ZAF,25/12/2022,5,NA,0,NA,0,0,0,0
